"Tabela 1.1 (UF) - Distribuição da população, por cor ou raça, com indicação do coeficiente de variação, segundo Grandes Regiões e Unidades da Federação - 2018",,,,,,,,,,
"Grandes Regiões e Unidades da Federação","Total (1 000 pessoas)",,"Distribuição percentual por cor ou raça",,,,,,,
,,,Branca,,Preta,,Parda,,"Amarela ou indígena",
,Total,"CV (%)",Total,"CV (%)",Total,"CV (%)",Total,"CV (%)",Total,"CV (%)"
Brasil,207853.29299999968,-,43.1375208729515,0.512687727776858,9.250217408823179,1.2079936694654403,46.54161045817378,0.4444221517746458,1.054414714148962,4.053533208242179
Norte,17870.875000000324,-,19.331869921260015,2.014060024382671,7.0572452356038715,4.500556402723507,71.77470191169252,0.7045641975717593,1.818654282856106,8.123589222059879
Rondônia,1747.1540000000068,-,29.470555836654032,3.6729584402712074,6.710324927997968,8.776211980649624,62.40118128309808,2.0119676016447077,1.4044868669216888,16.84939412073757
Acre,853.022999999987,-,21.026011422476913,4.039767101017434,5.346175113247707,8.443757865861638,72.3167762412478,1.2954028589661861,1.3110372230296925,16.70158215615757
Amazonas,3921.5080000000353,-,16.80871601652356,5.185963422177546,2.9897180688775906,12.28848873701639,77.40833125365249,1.3175128883677663,2.793234660945177,19.096522530759042
Roraima,513.4659999999934,-,23.690035498892854,6.156872417328755,7.674129412216117,8.277140983001777,60.86162053009424,2.4414785552173517,7.736998472474714,14.383915479843232
Pará,8472.029000000311,-,17.838190049345496,3.5543211630825757,8.171170586767486,7.386938684629212,72.69579662251263,1.2082553090510262,1.2692241100691855,12.734195995226619
Amapá,821.5449999999894,-,17.428553035270998,6.985901608245919,6.996880623346661,13.596443530363853,74.26080562678624,1.8386202771922748,1.2485175593799833,22.590979854278174
Tocantins,1542.1500000000012,-,21.093028512337103,4.574695224443575,12.447240380361086,7.4912401649720834,65.0177513700672,1.7308877140884693,1.441979737235908,16.481885194126278
Nordeste,56617.67099999965,-,24.63715839928781,1.1270821468624415,11.343419006389697,2.008668897037285,63.18285575493351,0.471284887416595,0.8214028389128931,5.2032745590285
Maranhão,7000.72600000019,-,18.293111398748596,2.516592036996218,11.947580751588015,3.8200762218575197,68.5442432383709,0.8117807097341478,1.1991894678784123,7.913949549281337
Piauí,3263.7539999999417,-,19.797282377318247,4.171215423297971,9.072589001682562,6.362071458238143,70.89077401816905,1.3916006673946852,0.2335381196345452,27.21181838034478
Ceará,9072.979999999978,-,28.223515437706162,2.411295763334468,5.288679438167536,5.134235977062123,65.71441928990376,1.0711193726722603,0.7693615937483353,13.869715900756056
"Rio Grande do Norte",3479.009999999954,-,35.86480416263911,3.257494494179406,5.977263997834158,7.204772906802444,57.97188828689481,1.8001126060001933,0.18604355263140107,34.40430729154077
Paraíba,3975.3290000000206,-,32.90291281948868,2.753561252828015,5.696498262696593,7.803942782908496,60.957366412699564,1.533171967124976,0.3885904025782262,18.763584987625432
Pernambuco,9439.033000000072,-,31.22597856617769,2.699639856554753,6.4626938955694415,5.474143410191694,61.22204914360703,1.3439881864644487,1.0581907682437361,12.708970294527166
Alagoas,3315.564000000027,-,25.350399973283423,3.2867568340726656,5.694452403844388,6.063536385737654,67.74580763206478,1.2640031030577485,1.2055240495872102,14.879801742635864
Sergipe,2277.955999999982,-,19.398147101466368,5.032371241679768,8.205180675448172,6.977497904079167,71.49126340134741,1.4994393919362066,0.8868207236460635,15.409708434307037
Bahia,14793.318999999487,-,18.08875075882353,3.4657901667263062,22.91494463464368,3.325261951963257,58.16505369178199,1.2548083864322437,0.8227129485816135,12.2922977095096
Sudeste,87690.92599999998,-,50.71672010595774,0.8990780204346188,9.880603124326496,1.9805212656512896,38.2727720618965,1.0782982351609767,1.1102469726855178,7.897342367506001
