"Tabela 3.4 - Rendimento mensal real domiciliar per capita, por sexo e cor ou raça, e razão de rendimentos, com indicação do coeficiente de variação, segundo as Grandes Regiões, as Unidades da Federação e os Municípios das Capitais - 2018",,,,,,,,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Municípios das Capitais","Rendimento mensal efetivo domiciliar per capita médio das pessoas residentes em arranjos domiciliares (R$)",,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,Homens,,,,,,Mulheres,,,,,,"Preta ou parda / Branca (B/A)",,"Homens pretos ou pardos /
Homens brancos (D/C)",,"Mulheres brancas /
Homens brancos (D/C)",,"Mulheres pretas ou pardas
/ Homens brancos (F/C)",
,Total,,"Cor ou raça",,,,Total,,"Cor ou raça",,,,"Total ",,"Cor ou raça",,,,,,,,,,,
,,,"Branca (A)",,"Preta ou parda (B)",,,,"Branca (C)",,"Preta ou parda (D)",,,,"Branca (E)",,"Preta ou parda (F)",,,,,,,,,
,Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)"
Brasil,1336.7691369053155,1.3508631419862087,1846.3052732251856,1.9802863758401519,934.225139156626,3.9136317628000454,1350.3599234661517,1.443836407962448,1871.4232407815396,2.1826245343139026,952.6362345992743,0.8077896578246989,1324.0795163237524,1.3509868748984788,1823.7584031718086,1.9400457976748817,916.4916218811765,0.8233872299527317,50.59971136434505,4.3238472127065215,50.90437127420927,2.212928685987158,97.45301668959581,1.1365755729658535,48.972974253458204,2.1942949050924896
Norte,886.4635189146309,2.532283266281011,1361.5494399765014,4.816624002009119,773.0228020000634,8.483671756570454,890.9869693878466,2.5760135875205243,1345.7148841081535,5.065907639739963,787.1381560499952,2.143582633464184,881.9525959823516,2.604293531871019,1375.743621545316,5.183725852702002,758.5381555767954,2.019465365382621,56.775228229200756,9.316860823459354,58.492193654501776,4.724899982267077,102.23143384915917,3.5336836188146807,56.3669291715906,4.704024947492326
Rondônia,1105.2512895549864,4.732319145959005,1382.5520659921506,7.934139263462166,979.6868855034792,11.196802563026758,1121.633026954779,4.794330221152346,1375.011049529864,7.986495580041384,1008.2405811434272,4.550472954193515,1088.8999683017587,4.884514958407065,1389.5284445847376,8.587923174405496,950.1101054574917,4.166676088001208,70.86075885326125,12.672047040723564,73.32599847020568,7.7180523219955655,101.05580206499702,4.926450686673322,69.09836148461119,7.628990907926105
"Porto Velho",1276.6989667797072,9.480112195637817,2034.563451982092,16.349141893454494,1037.7343178547105,32.05383689772982,1292.8285792570116,9.387194420808711,2086.932627441353,17.428172201891602,1057.6701796841057,6.594696971371758,1261.2314413706233,10.026343392352015,1990.4934323157145,16.686333759477904,1017.8420236928944,6.52050210960327,51.005257016867155,34.75888015188066,50.68060970328705,17.025462363915814,95.37890232499379,9.575481050442535,48.7721553781447,15.830209698341921
Acre,898.8097331175816,4.379833266519842,1220.9670223206208,6.207889751517049,811.2820000833675,9.34277928516297,899.5183491796641,4.685440473852774,1185.895362410506,6.831279117343058,823.9289424514029,4.905079387218214,898.1118182091731,4.4153501798052215,1252.2816382603191,6.559344036653181,798.4264781478195,4.471605084348925,66.44585687018893,9.978806826315415,69.47737284144924,6.6422758852258745,105.5979876432667,5.011080456526627,67.32689101042614,6.633750054255236
"Rio Branco",1245.7710136034211,5.982192819481187,1559.8652446905196,7.606119223517949,1139.0501060652903,10.416153741227971,1254.854241797993,6.518666323419037,1509.3993625811815,8.489159630374862,1168.3138544317615,6.758155768801019,1237.1902502631087,5.877313934231379,1604.0474789458815,7.890798161563492,1110.4137371424501,5.8450672140991,73.0223402272983,10.46946451488862,77.40256710019148,7.558591617521743,106.27058144524753,5.960954051536755,73.56659640054191,7.698480603015975
Amazonas,789.413891369417,6.066437894883475,1369.7169352719145,12.68717262206457,679.4300348941839,25.577078298969358,790.2273180524265,5.960059019589531,1421.8423659941407,12.352451394681596,685.5308041291175,4.812887650107062,788.5996389379094,6.404734055283784,1327.4561228917191,13.54680308132922,673.0141880079747,4.768005906940925,49.60368214760405,27.85222899160288,48.21426203950534,11.583997310639225,93.36169428061545,5.731913351920406,47.33395234973243,11.721069713883931
