"Tabela 3.5 - Proporção de pessoas residindo em domicílios sem acesso a serviços de saneamento básico, segundo a cor ou raça e tipo de arranjo domiciliar - 2018",,,,,,,,,,
"Tipo de arranjo domiciliar e cor ou raça","Proporção de pessoas residentes em domicílios com ocorrência de inadequações nas condições de moradia",,,,,,,,,
,"Total
(1000 pessoas)",,Inadequações,,,,,,,
,,,"Ausência de coleta direta ou indireta de lixo",,"Ausência de abastecimento de água por rede geral",,"Ausência de esgotamento Sanitário por rede coletora ou pluvial",,"Ao menos uma deficiência",
,Absoluto,"CV (%)",Proporção,"CV (%)",Proporção,"CV (%)",Proporção,"CV (%)",Proporção,"CV (%)"
Total,,,,,,,,,,
"Todos os arranjos",207853.29299999968," - ",9.667198744849033,1.5008138795138894,15.08781902706317,1.3929013947565858,35.67734775224716,0.8003996193386517,37.246701221604035,0.783806152064131
Unipessoal,11080.32613467116,1.0707886796035595,7.892694143790179,2.560023077390569,12.453947601557022,2.2370760164598065,29.940860036841546,1.5696441448254803,31.384527434167456,1.5220333122169918
"Casal sem filho",30406.150514755645,0.849875559090414,10.427399686912906,2.1025060397909097,15.965728287227492,1.84611202958315,34.75249073235902,1.2441417146175593,36.32054319478078,1.2151257808726916
"Casal com filho(s)",118678.90995952896,0.3485222446170542,10.956908214126281,1.7147361683944036,16.63074526868656,1.5245329370839258,38.08983682588008,0.8902550557656428,39.66788209827546,0.8708283195250629
"Arranjo formado por mulher sem cônjuge e com filho(s) até 14 anos",11588.67834650225,1.9143869864230674,7.070126680124399,5.350185213900751,12.372911788904897,5.220640983796358,35.562483855548386,2.478210702438654,37.38316728628001,2.496738332149022
Outros,36099.22804454311,0.8689209273913346,6.165257496128326,2.9787058978875725,10.955866279830374,2.5443283464444133,30.32274692667285,1.487041428495664,31.82251678867639,1.438009745153987
Branca,,,,,,,,,,
"Todos os arranjos",89662.75765299276,0.5126877277768606,6.008621485577492,2.1877345507307355,11.531316380869146,1.8072288772098302,26.475882105182954,1.2083684384376572,27.8999662143907,1.183845652939173
Unipessoal,5110.379826717283,1.6585676784683132,4.5750161860007585,4.37695769585077,8.693886819246424,3.487551840778478,21.10963929175202,2.5550531939209016,22.279926377770675,2.482885035657974
"Casal sem filho",14815.154611718273,1.2317359488349633,7.111499777998992,3.0456828912802627,12.720279443340376,2.513381970209103,27.099900221134927,1.8185498971285765,28.41602739926494,1.7777663384687652
"Casal com filho(s)",50961.60355988937,0.7449781228716413,6.704734308408196,2.6041553144944274,12.594178359965333,2.030568132066134,28.21015688777249,1.4128586228647533,29.64035704519629,1.376876342571227
"Arranjo formado por mulher sem cônjuge e com filho(s) até 14 anos",3982.827149090868,2.879249675950189,3.7242009764324657,9.415766120459807,9.42847806940282,11.052094025938507,26.671122693304618,4.164888907793036,28.851006386529672,4.506261376292318
Outros,14792.792505577305,1.3722077063561888,3.6162659860562996,4.642349096427358,8.225365993964447,3.7210529760202733,21.677571085016545,2.348660644440896,23.07289085414694,2.264708282360628
"Preta ou parda",,,,,,,,,,
"Todos os arranjos",115965.15144644593,0.39999693527352986,12.508163081807327,1.642178321448201,17.867120768728462,1.5444181511243809,42.83741514300872,0.8246317244661896,44.52166203404565,0.8024315423865841
Unipessoal,5818.062181760299,1.3111557573458146,10.888526657486079,2.885971510335706,15.849631756584003,2.6003735857731867,37.90336554707716,1.63330469537884,39.591039831829015,1.5827032723112162
"Casal sem filho",15250.236210255562,1.0887912227615097,13.758696238944658,2.355623978247713,19.256182637454845,2.137485883325035,42.31829813859417,1.3619922468042653,44.145438832421675,1.3240286128969787
"Casal com filho(s)",66505.93241681062,0.594506236752087,14.20496060177831,1.8798485120489323,19.716512032780656,1.7324304128924415,45.653739570752926,0.9347742605382873,47.34266318363374,0.913382741428203
"Arranjo formado por mulher sem cônjuge e com filho(s) até 14 anos",7483.190298550921,2.09020931817051,8.836423747648444,5.571360099093401,13.929306040276405,4.70596191920937,40.32163195159818,2.5260563337819804,41.96883724300965,2.4626701400504443
Outros,20907.73033906883,1.0996519433828895,7.9635015575946495,3.3372519158085936,12.94197026884409,2.847904568746241,36.53099492183956,1.572016824473283,38.10844182038538,1.5303119753950567
,,,,,,,,,,
"Fonte: IBGE, Pesquisa Nacional por Amostra de Domicílios Contínua 2018, consolidado de primeiras entrevistas.",,,,,,,,,,
"Nota: Indígenas, amarelos e pessoas sem declaração de cor ou raça constam no total.",,,,,,,,,,
